-----------------------------------------------------------------------------------------------------------------------------------------
 Module info :
-----------------------------------------------------------------------------------------------------------------------------------------
 Base       | Top        | Size       | Rebase | SafeSEH | ASLR  | NXCompat | OS Dll | Version, Modulename & Path
-----------------------------------------------------------------------------------------------------------------------------------------
 0x10470000 | 0x104a1000 | 0x00031000 | False  | True    | False |  False   | False  | -1.0- [test.exe] (C:\Users\Jay\Desktop\test.exe)
 0x74f50000 | 0x75134000 | 0x001e4000 | True   | True    | True  |  False   | True   | 10.0.17134.376 [KERNELBASE.dll] (C:\WINDOWS\System32\KERNELBASE.dll)
 0x77a30000 | 0x77a74000 | 0x00044000 | True   | True    | True  |  False   | True   | 10.0.17134.1 [sechost.dll] (C:\WINDOWS\System32\sechost.dll)
 0x72ee0000 | 0x72f36000 | 0x00056000 | True   | True    | True  |  False   | True   | 10.0.17134.1 [mswsock.dll] (C:\WINDOWS\system32\mswsock.dll)
 0x75bc0000 | 0x75ca0000 | 0x000e0000 | True   | True    | True  |  False   | True   | 10.0.17134.376 [KERNEL32.DLL] (C:\WINDOWS\System32\KERNEL32.DLL)
 0x773a0000 | 0x7745f000 | 0x000bf000 | True   | True    | True  |  False   | True   | 7.0.17134.1 [msvcrt.dll] (C:\WINDOWS\System32\msvcrt.dll)
 0x744d0000 | 0x744da000 | 0x0000a000 | True   | True    | True  |  False   | True   | 10.0.17134.1 [CRYPTBASE.dll] (C:\WINDOWS\System32\CRYPTBASE.dll)
 0x744e0000 | 0x74500000 | 0x00020000 | True   | True    | True  |  False   | True   | 10.0.17134.376 [SspiCli.dll] (C:\WINDOWS\System32\SspiCli.dll)
 0x77c20000 | 0x77db0000 | 0x00190000 | True   | True    | True  |  False   | True   | 10.0.17134.228 [ntdll.dll] (C:\WINDOWS\SYSTEM32\ntdll.dll)
 0x74550000 | 0x745c8000 | 0x00078000 | True   | True    | True  |  False   | True   | 10.0.17134.1 [ADVAPI32.dll] (C:\WINDOWS\System32\ADVAPI32.dll)
 0x75de0000 | 0x75ea0000 | 0x000c0000 | True   | True    | True  |  False   | True   | 10.0.17134.1 [RPCRT4.dll] (C:\WINDOWS\System32\RPCRT4.dll)
 0x75d10000 | 0x75d77000 | 0x00067000 | True   | True    | True  |  False   | True   | 10.0.17134.1 [WS2_32.dll] (C:\WINDOWS\System32\WS2_32.dll)
 0x77650000 | 0x776a8000 | 0x00058000 | True   | True    | True  |  False   | True   | 10.0.17134.345 [bcryptPrimitives.dll] (C:\WINDOWS\System32\bcryptPrimitives.dll)
-----------------------------------------------------------------------------------------------------------------------------------------
Interesting gadgets
-------------------
0x1047601a :  # POP EDI # POP ESI # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x1047601b :  # POP ESI # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x1048a01c :  # XOR EDX,EDX # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1048a01f :  # MOV EAX,DWORD PTR DS:[1049E750] # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047802c :  # TEST DWORD PTR SS:[EBP+F6000001],EAX # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10478030 :  # ADD DH,DH # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047e043 :  # XOR EAX,EAX # POP EDI # POP ESI # POP EBX # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047e045 :  # POP EDI # POP ESI # POP EBX # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047e046 :  # POP ESI # POP EBX # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047e047 :  # POP EBX # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047e048 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1048a04d :  # OR EAX,1049E750 # MOV EAX,ESI # POP ESI # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1048a052 :  # MOV EAX,ESI # POP ESI # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1048a054 :  # POP ESI # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1048a055 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047e074 :  # MOV EAX,DWORD PTR DS:[EAX*8+104967E0] # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10482077 :  # XOR EAX,EAX # POP EDI # POP ESI # POP EBX # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10482079 :  # POP EDI # POP ESI # POP EBX # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x1048207a :  # POP ESI # POP EBX # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x1047e07b :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1048207c :  # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x1047e07d :  # XOR EAX,EAX # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047e07f :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
